Published Carrier,Flight Number,Origin,Destination,Departure Time,Arrival Time,Op Days,Elapsed Time,Distance (KM),Stops,Equipment,Codeshare Flts
FM,9343,PVG,DYG,2015,2235,12 4   ,2:20,1115,0,73H,MU 9343
FM,9364,WUH,SHA,2130,2310,2,1:40,681,0,73G,MU 9364
FM,9397,CSX,KMG,1250,1500, 2 4 6 ,2:10,1077,0,738,MU 9397
FM,9400,CSX,SHA,1800,2000,1234567,2:00,851,0,738,MU 9400
FM,9508,JNG,CGQ,1810,2030, 2 4 6 ,2:20,1252,0,73H,MU 9508
FM,9535,XMN,ZHA,940,1145,1,2:05,877,0,738,MU 9535
FM,9537,SHA,SYX,655,1020,1234567,3:25,1867,0,321,MU 9537
FM,841,PVG,BKK,2230,155,1234567,4:25,2895,0,738,"MU 9841,DL 6341"
FM,861,PVG,KUL,1850,55,1234567,6:05,3795,0,73H,"MU 9861,DL 6345"
FM,876,MFM,PVG,1325,1555,  3 56 ,2:30,1289,0,73H,MU 9876
FM,9125,RIZ,DLC,1345,1450,1234567,1:05,439,0,73H,MU 9125
FM,9145,PVG,YCU,1240,1500,1234567,2:20,1093,0,738,MU 9145
FM,9239,PVG,LYI,850,1040,5,1:50,536,0,73H,MU 9239
FM,9245,SHA,KHN,730,920,1234567,1:50,583,0,738,MU 9245
FM,9255,WNZ,HDG,800,1000,1 3 5 7,2:00,1131,0,738,MU 9255
FM,9299,PVG,SWA,2120,2345,123 56 ,2:25,991,0,73H,MU 9299
FM,9320,CAN,SHA,2130,2350,1234567,2:20,1175,0,789,MU 9320
FM,9321,SHA,CGO,1950,2150,1 3 5 7,2:00,792,0,738,MU 9321
FM,9344,DYG,PVG,2320,125, 2 4   ,2:05,1115,0,73H,MU 9344
FM,9372,YNZ,SHA,2120,2225,1234567,1:05,269,0,738,MU 9372
FM,9388,WUH,ZHA,1740,2010,   4 6 ,2:30,1131,0,733,MU 9388
FM,9389,PVG,CGO,905,1100, 2 4 6 ,1:55,832,0,737,MU 9389
FM,9390,CGO,PVG,2200,2350, 2 4 6 ,1:50,832,0,737,MU 9390
FM,9393,PVG,DSN,1715,2010,1234567,2:55,1424,0,738,MU 9393
FM,9421,SHA,CKG,755,1050,1 34 6 ,2:55,1416,0,738,MU 9421
FM,9438,BAV,PVG,1030,1315,1234567,2:45,1489,0,738,MU 9438
FM,9457,SHA,KWE,1155,1445,3,2:50,1503,0,738,MU 9457
FM,9466,CGO,SHA,2010,2150,1 3 5 7,1:40,792,0,738,MU 9466
FM,9468,LHW,CGO,1810,2000, 2 4 6 ,1:50,950,0,738,MU 9468
FM,9507,CGQ,JNG,830,1105, 2 4 6 ,2:35,1252,0,73H,MU 9507
FM,835,PVG,HND,2050,100,3,3:10,1735,0,738,
FM,9125,PVG,RIZ,1120,1255,1234567,1:35,526,0,73H,MU 9125
FM,9157,HGH,PEK,945,1210,1234567,2:25,1147,0,738,"MU 9157,DL 6376"
FM,9174,JNG,PVG,2045,2220,   4 6 ,1:35,686,0,738,MU 9174
FM,9183,XMN,HSN,855,1040,1234567,1:45,731,0,738,MU 9183
FM,9189,SWA,HRB,650,1040,1   5  ,3:50,2610,0,733,MU 9189
FM,9228,CSX,SHA,1005,1150,6,1:45,851,0,738,MU 9228
FM,9244,CKG,TXN,1830,2045,1234567,2:15,1120,0,738,MU 9244
FM,9279,SHA,FUG,645,815,1234567,1:30,558,0,738,MU 9279
FM,9297,SWA,ZUH,1320,1425,1234567,1:05,380,0,737,MU 9297
FM,9358,SWA,SHA,1530,1720,1234567,1:50,974,0,738,MU 9358
FM,9360,ZHA,PVG,720,955,1234567,2:35,1585,0,733,MU 9360
FM,9402,HAK,SHA,1410,1655,7,2:45,1656,0,73H,MU 9402
FM,9454,JHG,KMG,1445,1600,1234567,1:15,412,0,73G,MU 9454
FM,9463,SHA,KWE,645,935,1 34 6 ,2:50,1503,0,737,MU 9463
FM,9465,SHA,CGO,1210,1410,1 3 5 7,2:00,792,0,738,MU 9465
FM,9547,TGO,HRB,1645,1740, 2 4 6 ,0:55,394,0,733,MU 9547
FM,9127,HET,HLD,1305,1510,1234567,2:05,1118,0,738,MU 9127
FM,9146,INC,YCU,1815,1950,1234567,1:35,584,0,738,MU 9146
FM,9230,JXA,TAO,1235,1455,  3 5 7,2:20,1352,0,73G,MU 9230
FM,9264,XMN,SHA,1055,1255,1234567,2:00,803,0,737,MU 9264
FM,9351,HGH,CAN,1635,1850,1234567,2:15,1038,0,738,MU 9351
FM,9373,SHA,XMN,1525,1715,1 3 5 7,1:50,803,0,738,MU 9373
FM,9381,PVG,KWL,2115,2355,1,2:40,1324,0,738,"MU 9381,DL 6355"
FM,9396,CSX,SHA,2135,2330,1234567,1:55,851,0,738,MU 9396
FM,9401,SHA,KWL,1755,2050,7,2:55,1289,0,737,MU 9401
FM,9415,SHA,LYG,805,925,1234567,1:20,439,0,738,MU 9415
FM,9422,CKG,SHA,1155,1425,1 34 6 ,2:30,1416,0,738,MU 9422
FM,9429,HNY,KMG,1430,1625,1234567,1:55,987,0,738,MU 9429
FM,9467,SHA,CGO,1210,1420, 2 4 6 ,2:10,792,0,738,MU 9467
FM,9518,SYX,WNZ,1620,1855, 2 4 6 ,2:35,1582,0,738,MU 9518
FM,9545,WUT,INC,1645,1805,1 3 5 7,1:20,605,0,738,MU 9545
FM,9546,INC,WUT,1855,2020,7,1:25,605,0,738,MU 9546
FM,817,SHA,MFM,1005,1240,1234567,2:35,1265,0,738,MU 9817
FM,854,BKK,PVG,1150,1725,1234567,4:35,2895,0,738,"MU 9854,DL 6342"
FM,872,PUS,DYG,1615,1845,  3  6 ,3:30,1862,0,737,
FM,9074,YNT,SHA,945,1135,1234567,1:50,719,0,738,MU 9074
FM,9159,PVG,CGQ,2105,2355,4,2:50,1468,0,738,"MU 9159,DL 6719"
FM,9164,TYN,SHA,1105,1310,1234567,2:05,1078,0,737,MU 9164
FM,9192,DLC,PVG,1325,1520,1234567,1:55,869,0,738,MU 9192
FM,9387,ZHA,WUH,1440,1645,   4 6 ,2:05,1131,0,733,MU 9387
FM,9392,CSX,SHA,1410,1555,1234567,1:45,851,0,738,MU 9392
FM,9553,WNZ,WEH,1355,1600,1 3 5 7,2:05,1040,0,738,MU 9553
FM,9554,SHE,WEH,1905,2035,1 3 5 7,1:30,505,0,738,MU 9554
FM,9568,KRY,CGO,1725,2130,1 3 5 7,4:05,2723,0,737,MU 9568
FM,808,NGO,CAN,1350,1710,1234567,4:20,2604,0,738,MU  808
FM,858,HKT,PVG,2300,520,1,5:20,3533,0,73H,"MU 9858,DL 6375"
FM,9081,PVG,XMN,1420,1620,1234567,2:00,818,0,733,MU 9081
FM,9123,PVG,TVS,735,950,   4  7,2:15,1014,0,73H,MU 9123
